Skeleton,_function,Line Number,Function Argument List
CMN$$ACB,SUBSTR,106,&PIMSID,3,1
CMN$$JCD,LEFT,39,&DEFJOB1,73
CMN$$JCD,LEFT,40,&DEFJOB2,73
CMN$$JCD,LEFT,41,&DEFJOB3,73
CMN$$JCD,LEFT,42,&DEFJOB4,73
CMN$$JCD,LEFT,43,&DEFJOB4,73
CMN30SRD,SUBSTR,81,&STGLTYP,1,2
CMNRPMDR,SUBSTR,24,&LIBTYPE,1,2
EPCBINDR,RIGHT,11,&$SLODLTP,1
S8PD2BND,SUBSTR,123,&NTSSYS,2,1
SCMEVTCK,STR,56,Checkin failed: &PKGNAME
SK8EPBND,RIGHT,59,&$STEPCT,3,0
SK8EPRLS,RIGHT,21,&$STEPCT,2,0
SK8EPRLS,RIGHT,37,&$STEPCT,2,0
SK8EPRLS,RIGHT,82,&$STEPCT,2,0
SK8EPRLS,RIGHT,115,&$STEPCT,2,0
SK8EPRLS,RIGHT,141,&$STEPCT,2,0
SK8EPRLS,STR,168, CM I=&$PTIDD,O=ODD01
SK8EPRLS,STR,170, C I=&$PTIDD,O=ODD01
SK8EPRLS,STR,192, C I=&$PTIDD,O=ODD01
SK8EPRLS,STR,193,&$CPYSTMT  COPY &$RLSCNT &$LIBTYP MEMBERS
SK8EPRLS,RIGHT,220,&$STEPCT,2,0
SK8EPRLS,RIGHT,248,&$STEPCT,2,0
SK8EPRLS,RIGHT,278,&$STEPCT,2,0
SK8EPRLS,RIGHT,297,&$STEPCT,2,0
SKMPAPPL,SUBSTR,55,&PROJECT,4,1
SKPD2BDP,SUBSTR,7,&NTSSYS,2,1
SKPD2BND,SUBSTR,173,&NTSSYS,2,1
SKPDBB,SUBSTR,57,&NTSSYS,2,1
SKSPPCPY,SUBSTR,17,&CMPTYPE,3,1
SKSSACPY,SUBSTR,9,&CMPTYPE,3,1
SKSXMCPY,SUBSTR,16,&CMPTYPE,3,1
